"coord_ref_sys_code","coord_ref_sys_name","coord_sys_code","datum_code","base_crs_code","projection_conv_code"
8266,"GVR2000 height",6499,1199,NULL,NULL
8267,"GVR2016 height",6499,1200,NULL,NULL
9303,"HS2-VRF height",6499,1265,NULL,NULL
10373,"Horta depth",6498,NULL,6181,7812
5601,"IGN 1966 height",6499,5196,NULL,NULL
5605,"Huahine SAU 2001 height",6499,5200,NULL,NULL
5608,"IGLD 1955 height",6499,5204,NULL,NULL
5609,"IGLD 1985 height",6499,5205,NULL,NULL
5610,"HVRS71 height",6499,5207,NULL,NULL
5616,"IGN 1988 LS height",6499,5210,NULL,NULL
5617,"IGN 1988 MG height",6499,5211,NULL,NULL
5618,"IGN 1992 LD height",6499,5212,NULL,NULL
5619,"IGN 1988 SB height",6499,5213,NULL,NULL
5620,"IGN 1988 SM height",6499,5214,NULL,NULL
9130,"IGN 2008 LD height",6499,1250,NULL,NULL
9394,"Ibiza height",6499,1277,NULL,NULL
5829,"Instantaneous Water Level height",6499,5113,NULL,NULL
5831,"Instantaneous Water Level depth",6498,NULL,5829,7812
5863,"ISLW depth",6498,1085,NULL,NULL
8089,"ISH2004 height",6499,1190,NULL,NULL
9471,"INAGeoid2020 v1 height",6499,1294,NULL,NULL
20036,"INAGeoid2020 v2 height",6499,1328,NULL,NULL
6694,"JGD2000 (vertical) height",6499,1130,NULL,NULL
7888,"Jamestown 1971 height",6499,1175,NULL,NULL
5723,"JSLD69 height",6499,5122,NULL,NULL
6693,"JSLD72 height",6499,1129,NULL,NULL
6695,"JGD2011 (vertical) height",6499,1131,NULL,NULL
7652,"Kiunga height",6499,1151,NULL,NULL
5193,"KVD1964 height",6499,1049,NULL,NULL
5614,"KOC WD depth (ft)",6495,NULL,5789,7813
5788,"Kuwait PWD height",6499,5186,NULL,NULL
5789,"KOC WD depth",6498,NULL,7979,7812
5790,"KOC CD height",6499,5188,NULL,NULL
7651,"Kumul 34 height",6499,1150,NULL,NULL
7979,"KOC WD height",6499,5187,NULL,NULL
9335,"KSA-VRF14 height",6499,1269,NULL,NULL
5728,"LN02 height",6499,5127,NULL,NULL
5729,"LHN95 height",6499,5128,NULL,NULL
5742,"Lerwick height",6499,5140,NULL,NULL
5796,"Lagos 1955 height",6499,5194,NULL,NULL
5861,"LAT depth",6498,1080,NULL,NULL
5862,"LLWLT depth",6498,1083,NULL,NULL
5873,"Low Water depth",6498,1093,NULL,NULL
6131,"LCVD61 height (ft)",1030,1098,NULL,NULL
7700,"Latvia 2000 height",6499,1162,NULL,NULL
9287,"LAT NL depth",6498,1290,NULL,NULL
9395,"Lanzarote height",6499,1278,NULL,NULL
9399,"La Gomera height",6499,1282,NULL,NULL
9400,"La Palma height",6499,1283,NULL,NULL
9666,"LAS07 height",6499,1299,NULL,NULL
5731,"Malin Head height",6499,5130,NULL,NULL
5763,"Lyttelton 1937 height",6499,5161,NULL,NULL
8434,"Macao height",6499,1210,NULL,NULL
9392,"Mallorca height",6499,1275,NULL,NULL
5604,"Maupiti SAU 2001 height",6499,5199,NULL,NULL
5722,"Maputo height",6499,5121,NULL,NULL
5756,"Martinique 1987 height",6499,5154,NULL,NULL
5793,"Mayotte 1950 height",6499,5191,NULL,NULL
5794,"Martinique 1955 height",6499,5192,NULL,NULL
9393,"Menorca height",6499,1276,NULL,NULL
10354,"Melilla height",6499,1364,NULL,NULL
5602,"Moorea SAU 1981 height",6499,5197,NULL,NULL
5764,"Moturiki 1953 height",6499,5162,NULL,NULL
5864,"MLLWS depth",6498,1086,NULL,NULL
5865,"MLWS depth",6498,1087,NULL,NULL
5866,"MLLW depth",6498,1089,NULL,NULL
5867,"MLW depth",6498,1091,NULL,NULL
5868,"MHW height",6499,1092,NULL,NULL
5869,"MHHW height",6499,1090,NULL,NULL
5870,"MHWS height",6499,1088,NULL,NULL
3900,"N2000 height",6499,1030,NULL,NULL
5714,"MSL height",6499,5100,NULL,NULL
5715,"MSL depth",6498,NULL,5714,7812
5717,"N60 height",6499,5116,NULL,NULL
8050,"MSL height (ft)",1030,NULL,5714,7813
8051,"MSL depth (ft)",6495,NULL,5715,7813
8052,"MSL height (ftUS)",6497,NULL,5714,7813
8053,"MSL depth (ftUS)",1043,NULL,5715,7813
8675,"N43 height",6499,1213,NULL,NULL
8841,"MVGC height",6499,1219,NULL,NULL
9288,"MSL NL depth",6498,1270,NULL,NULL
10150,"MSL UK & Ireland VORF08 depth",6498,1330,NULL,NULL
5791,"NGC 1948 height",6499,5189,NULL,NULL
5709,"NAP height",6499,5109,NULL,NULL
5703,"NAVD88 height",6499,5103,NULL,NULL
5719,"NGF Lallemand height",6499,5118,NULL,NULL
5720,"NGF-IGN69 height",6499,5119,NULL,NULL
5721,"NGF-IGN78 height",6499,5120,NULL,NULL
5753,"NGNC69 height",6499,5151,NULL,NULL
5755,"NGG1977 height",6499,5153,NULL,NULL
5765,"Napier 1962 height",6499,5163,NULL,NULL
5766,"Nelson 1955 height",6499,5164,NULL,NULL
5774,"NG95 height",6499,5172,NULL,NULL
6357,"NAVD88 depth",6498,NULL,5703,7812
6358,"NAVD88 depth (ftUS)",1043,NULL,6360,7812
6360,"NAVD88 height (ftUS)",6497,NULL,5703,7813
8228,"NAVD88 height (ft)",1030,NULL,5703,7813
9351,"NGNC08 height",6499,1255,NULL,NULL
10190,"NGA 2022 height",6499,1354,NULL,NULL
5600,"NGPF height",6499,5195,NULL,NULL
5702,"NGVD29 height (ftUS)",6497,5102,NULL,NULL
5745,"North Rona height",6499,5143,NULL,NULL
5776,"NN54 height",6499,5174,NULL,NULL
5941,"NN2000 height",6499,1096,NULL,NULL
6359,"NGVD29 depth (ftUS)",1043,NULL,5702,7812
6640,"NMVD03 height",6499,1119,NULL,NULL
7968,"NGVD29 height (m)",6499,NULL,5702,7813
9681,"NVD 1992 height",6499,1303,NULL,NULL
4440,"NZVD2009 height",6499,1039,NULL,NULL
5701,"ODN height",6499,5101,NULL,NULL
5710,"Ostend height",6499,5110,NULL,NULL
5740,"ODN Orkney height",6499,5138,NULL,NULL
5767,"One Tree Point 1964 height",6499,5165,NULL,NULL
7707,"ODN (Offshore) height",6499,1164,NULL,NULL
7839,"NZVD2016 height",6499,1169,NULL,NULL
5716,"Piraeus height",6499,5115,NULL,NULL
5724,"PHD93 height",6499,5123,NULL,NULL
5754,"Poolbeg height (ft(Br36))",6496,5152,NULL,NULL
6187,"Ponta Delgada height",6499,1110,NULL,NULL
7447,"PNG08 height",6499,1149,NULL,NULL
7832,"POM96 height",6499,1171,NULL,NULL
7841,"POM08 height",6499,1172,NULL,NULL
7962,"Poolbeg height (m)",6499,NULL,5754,7813
9675,"Pago Pago 2020 height",6499,1302,NULL,NULL
10378,"Ponta Delgada depth",6498,NULL,6187,7812
6641,"PRVD02 height",6499,1123,NULL,NULL
5603,"Raiatea SAU 2001 height",6499,5198,NULL,NULL
5843,"Ras Ghumays height",6499,1146,NULL,NULL
5758,"Reunion 1989 height",6499,5156,NULL,NULL
5613,"RH2000 height",6499,5208,NULL,NULL
5615,"RH00 height",6499,5209,NULL,NULL
5718,"RH70 height",6499,5117,NULL,NULL
9279,"SA LLD height",6499,1262,NULL,NULL
6183,"Santa Cruz da Graciosa height",6499,1106,NULL,NULL
6185,"Santa Cruz das Flores height",6499,1108,NULL,NULL
6916,"SHD height",6499,1140,NULL,NULL
10372,"Santa Cruz das Flores depth",6498,NULL,6185,7812
