"coord_ref_sys_code","coord_ref_sys_name","coord_sys_code","base_crs_code","projection_conv_code"
2000,"Anguilla 1957 / British West Indies Grid",4400,4600,19942
2001,"Antigua 1943 / British West Indies Grid",4400,4601,19942
2002,"Dominica 1945 / British West Indies Grid",4400,4602,19942
2003,"Grenada 1953 / British West Indies Grid",4400,4603,19942
2004,"Montserrat 1958 / British West Indies Grid",4400,4604,19942
2005,"St. Kitts 1955 / British West Indies Grid",4400,4605,19942
2006,"St. Lucia 1955 / British West Indies Grid",4400,4606,19942
2007,"St. Vincent 45 / British West Indies Grid",4400,4607,19942
2009,"NAD27(CGQ77) / SCoPQ zone 3",4499,4609,17703
2010,"NAD27(CGQ77) / SCoPQ zone 4",4499,4609,17704
2011,"NAD27(CGQ77) / SCoPQ zone 5",4499,4609,17705
2012,"NAD27(CGQ77) / SCoPQ zone 6",4499,4609,17706
2013,"NAD27(CGQ77) / SCoPQ zone 7",4499,4609,17707
2014,"NAD27(CGQ77) / SCoPQ zone 8",4499,4609,17708
2015,"NAD27(CGQ77) / SCoPQ zone 9",4499,4609,17709
2016,"NAD27(CGQ77) / SCoPQ zone 10",4499,4609,17710
2017,"NAD27(76) / MTM zone 8",4499,4608,17708
2018,"NAD27(76) / MTM zone 9",4499,4608,17709
2019,"NAD27(76) / MTM zone 10",4499,4608,17710
2020,"NAD27(76) / MTM zone 11",4400,4608,17711
2021,"NAD27(76) / MTM zone 12",4400,4608,17712
2022,"NAD27(76) / MTM zone 13",4400,4608,17713
2023,"NAD27(76) / MTM zone 14",4400,4608,17714
2024,"NAD27(76) / MTM zone 15",4400,4608,17715
2025,"NAD27(76) / MTM zone 16",4400,4608,17716
2026,"NAD27(76) / MTM zone 17",4400,4608,17717
2027,"NAD27(76) / UTM zone 15N",4400,4608,16015
2028,"NAD27(76) / UTM zone 16N",4400,4608,16016
2029,"NAD27(76) / UTM zone 17N",4400,4608,16017
2030,"NAD27(76) / UTM zone 18N",4400,4608,16018
2031,"NAD27(CGQ77) / UTM zone 17N",4400,4609,16017
2032,"NAD27(CGQ77) / UTM zone 18N",4400,4609,16018
2033,"NAD27(CGQ77) / UTM zone 19N",4400,4609,16019
2034,"NAD27(CGQ77) / UTM zone 20N",4400,4609,16020
2035,"NAD27(CGQ77) / UTM zone 21N",4400,4609,16021
2039,"Israel 1993 / Israeli TM Grid",4400,4141,18204
2040,"Locodjo 1965 / UTM zone 30N",4400,4142,16030
2041,"Abidjan 1987 / UTM zone 30N",4400,4143,16030
2042,"Locodjo 1965 / UTM zone 29N",4400,4142,16029
2043,"Abidjan 1987 / UTM zone 29N",4400,4143,16029
2044,"Hanoi 1972 / Gauss-Kruger zone 18",4530,4147,16218
2045,"Hanoi 1972 / Gauss-Kruger zone 19",4530,4147,16219
2046,"Hartebeesthoek94 / Lo15",6503,4148,17515
2047,"Hartebeesthoek94 / Lo17",6503,4148,17517
2048,"Hartebeesthoek94 / Lo19",6503,4148,17519
2049,"Hartebeesthoek94 / Lo21",6503,4148,17521
2050,"Hartebeesthoek94 / Lo23",6503,4148,17523
2051,"Hartebeesthoek94 / Lo25",6503,4148,17525
2052,"Hartebeesthoek94 / Lo27",6503,4148,17527
2053,"Hartebeesthoek94 / Lo29",6503,4148,17529
2054,"Hartebeesthoek94 / Lo31",6503,4148,17531
2055,"Hartebeesthoek94 / Lo33",6503,4148,17533
2056,"CH1903+ / LV95",4400,4150,19950
2057,"Rassadiran / Nakhl e Taqi",4400,4153,19951
2058,"ED50(ED77) / UTM zone 38N",4400,4154,16038
2059,"ED50(ED77) / UTM zone 39N",4400,4154,16039
2060,"ED50(ED77) / UTM zone 40N",4400,4154,16040
2061,"ED50(ED77) / UTM zone 41N",4400,4154,16041
2062,"Madrid 1870 (Madrid) / Spain LCC",4499,4903,19921
2065,"S-JTSK (Ferro) / Krovak",6501,4818,19952
2066,"Mount Dillon / Tobago Grid",4407,4157,19924
2067,"Naparima 1955 / UTM zone 20N",4400,4158,16020
2068,"ELD79 / Libya zone 5",4499,4159,18240
2069,"ELD79 / Libya zone 6",4499,4159,18241
2070,"ELD79 / Libya zone 7",4499,4159,18242
2071,"ELD79 / Libya zone 8",4499,4159,18243
2072,"ELD79 / Libya zone 9",4499,4159,18244
2073,"ELD79 / Libya zone 10",4499,4159,18245
2074,"ELD79 / Libya zone 11",4499,4159,18246
2075,"ELD79 / Libya zone 12",4499,4159,18247
2076,"ELD79 / Libya zone 13",4499,4159,18248
2077,"ELD79 / UTM zone 32N",4400,4159,16032
2078,"ELD79 / UTM zone 33N",4400,4159,16033
2079,"ELD79 / UTM zone 34N",4400,4159,16034
2080,"ELD79 / UTM zone 35N",4400,4159,16035
2081,"Chos Malal 1914 / Argentina 2",4530,4160,18032
2082,"Pampa del Castillo / Argentina 2",4530,4161,18032
2083,"Hito XVIII 1963 / Argentina 2",4530,4254,18032
2084,"Hito XVIII 1963 / UTM zone 19S",4400,4254,16119
2087,"ELD79 / TM 12 NE",4400,4159,16412
2088,"Carthage / TM 11 NE",4400,4223,16411
2089,"Yemen NGN96 / UTM zone 38N",4400,4163,16038
2090,"Yemen NGN96 / UTM zone 39N",4400,4163,16039
2093,"Hanoi 1972 / GK 106 NE",4530,4147,16586
2094,"WGS 72BE / TM 106 NE",4400,4324,16506
2095,"Bissau / UTM zone 28N",4400,4165,16028
2096,"Korean 1985 / East Belt",4530,4162,18251
2097,"Korean 1985 / Central Belt",4530,4162,18252
2098,"Korean 1985 / West Belt",4530,4162,18253
2099,"Qatar 1948 / Qatar Grid",4400,4286,19953
2100,"GGRS87 / Greek Grid",4400,4121,19930
2101,"Lake / Maracaibo Grid M1",4499,4249,18260
2102,"Lake / Maracaibo Grid",4499,4249,18261
2103,"Lake / Maracaibo Grid M3",4499,4249,18262
2104,"Lake / Maracaibo La Rosa Grid",4499,4249,18263
2105,"NZGD2000 / Mount Eden 2000",4500,4167,17931
2106,"NZGD2000 / Bay of Plenty 2000",4500,4167,17932
2107,"NZGD2000 / Poverty Bay 2000",4500,4167,17933
2108,"NZGD2000 / Hawkes Bay 2000",4500,4167,17934
2109,"NZGD2000 / Taranaki 2000",4500,4167,17935
2110,"NZGD2000 / Tuhirangi 2000",4500,4167,17936
2111,"NZGD2000 / Wanganui 2000",4500,4167,17937
2112,"NZGD2000 / Wairarapa 2000",4500,4167,17938
2113,"NZGD2000 / Wellington 2000",4500,4167,17939
2114,"NZGD2000 / Collingwood 2000",4500,4167,17940
2115,"NZGD2000 / Nelson 2000",4500,4167,17941
2116,"NZGD2000 / Karamea 2000",4500,4167,17942
2117,"NZGD2000 / Buller 2000",4500,4167,17943
2118,"NZGD2000 / Grey 2000",4500,4167,17944
2119,"NZGD2000 / Amuri 2000",4500,4167,17945
2120,"NZGD2000 / Marlborough 2000",4500,4167,17946
2121,"NZGD2000 / Hokitika 2000",4500,4167,17947
2122,"NZGD2000 / Okarito 2000",4500,4167,17948
2123,"NZGD2000 / Jacksons Bay 2000",4500,4167,17949
2124,"NZGD2000 / Mount Pleasant 2000",4500,4167,17950
2125,"NZGD2000 / Gawler 2000",4500,4167,17951
2126,"NZGD2000 / Timaru 2000",4500,4167,17952
2127,"NZGD2000 / Lindis Peak 2000",4500,4167,17953
2128,"NZGD2000 / Mount Nicholas 2000",4500,4167,17954
2129,"NZGD2000 / Mount York 2000",4500,4167,17955
2130,"NZGD2000 / Observation Point 2000",4500,4167,17956
2131,"NZGD2000 / North Taieri 2000",4500,4167,17957
2132,"NZGD2000 / Bluff 2000",4500,4167,17958
2133,"NZGD2000 / UTM zone 58S",4400,4167,16158
2134,"NZGD2000 / UTM zone 59S",4400,4167,16159
2135,"NZGD2000 / UTM zone 60S",4400,4167,16160
2136,"Accra / Ghana National Grid",4404,4168,19959
2137,"Accra / TM 1 NW",4400,4168,17001
2138,"NAD27(CGQ77) / Quebec Lambert",4499,4609,19944
2154,"RGF93 v1 / Lambert-93",4499,4171,18085
2157,"IRENET95 / Irish Transverse Mercator",4400,4173,19962
2158,"IRENET95 / UTM zone 29N",4400,4173,16029
2159,"Sierra Leone 1924 / New Colony Grid",4404,4174,19963
2160,"Sierra Leone 1924 / New War Office Grid",4404,4174,19964
2161,"Sierra Leone 1968 / UTM zone 28N",4400,4175,16028
2162,"Sierra Leone 1968 / UTM zone 29N",4400,4175,16029
2164,"Locodjo 1965 / TM 5 NW",4400,4142,17005
2165,"Abidjan 1987 / TM 5 NW",4400,4143,17005
2169,"LUREF / Luxembourg TM",4530,4181,19966
2172,"Pulkovo 1942(58) / Poland zone II",4530,4179,18282
2173,"Pulkovo 1942(58) / Poland zone III",4530,4179,18283
2174,"Pulkovo 1942(58) / Poland zone IV",4530,4179,18284
2175,"Pulkovo 1942(58) / Poland zone V",4530,4179,18285
2176,"ETRF2000-PL / CS2000/15",4531,9702,18305
2177,"ETRF2000-PL / CS2000/18",4531,9702,18306
2178,"ETRF2000-PL / CS2000/21",4531,9702,18307
2179,"ETRF2000-PL / CS2000/24",4531,9702,18308
2180,"ETRF2000-PL / CS92",4531,9702,18300
2188,"Azores Occidental 1939 / UTM zone 25N",4400,4182,16025
2189,"Azores Central 1948 / UTM zone 26N",4400,4183,16026
2190,"Azores Oriental 1940 / UTM zone 26N",4400,4184,16026
2193,"NZGD2000 / New Zealand Transverse Mercator 2000",4500,4167,19971
2195,"NAD83(HARN) / UTM zone 2S",4400,4152,16102
2196,"ETRS89 / Kp2000 Jutland",4400,4258,18401
2197,"ETRS89 / Kp2000 Zealand",4400,4258,18402
2198,"ETRS89 / Kp2000 Bornholm",4400,4258,18403
2200,"ATS77 / New Brunswick Stereographic (ATS77)",4500,4122,19945
2201,"REGVEN / UTM zone 18N",4400,4189,16018
2202,"REGVEN / UTM zone 19N",4400,4189,16019
2203,"REGVEN / UTM zone 20N",4400,4189,16020
2204,"NAD27 / Tennessee",4497,4267,15302
2205,"NAD83 / Kentucky North",4499,4269,15303
2206,"ED50 / 3-degree Gauss-Kruger zone 9",4530,4230,16269
2207,"ED50 / 3-degree Gauss-Kruger zone 10",4530,4230,16270
2208,"ED50 / 3-degree Gauss-Kruger zone 11",4530,4230,16271
2209,"ED50 / 3-degree Gauss-Kruger zone 12",4530,4230,16272
2210,"ED50 / 3-degree Gauss-Kruger zone 13",4530,4230,16273
2211,"ED50 / 3-degree Gauss-Kruger zone 14",4530,4230,16274
2212,"ED50 / 3-degree Gauss-Kruger zone 15",4530,4230,16275
2213,"ETRS89 / TM 30 NE",4400,4258,16430
2215,"Manoca 1962 / UTM zone 32N",4400,4193,16032
2216,"Qornoq 1927 / UTM zone 22N",4400,4194,16022
2217,"Qornoq 1927 / UTM zone 23N",4400,4194,16023
2218,"Scoresbysund 1952 / Greenland zone 5 east",1031,4195,18425
2219,"ATS77 / UTM zone 19N",4400,4122,16019
2220,"ATS77 / UTM zone 20N",4400,4122,16020
2221,"Scoresbysund 1952 / Greenland zone 6 east",1031,4195,18426
2222,"NAD83 / Arizona East (ft)",4495,4269,15304
2223,"NAD83 / Arizona Central (ft)",4495,4269,15305
2224,"NAD83 / Arizona West (ft)",4495,4269,15306
2225,"NAD83 / California zone 1 (ftUS)",4497,4269,15307
2226,"NAD83 / California zone 2 (ftUS)",4497,4269,15308
2227,"NAD83 / California zone 3 (ftUS)",4497,4269,15309
2228,"NAD83 / California zone 4 (ftUS)",4497,4269,15310
2229,"NAD83 / California zone 5 (ftUS)",4497,4269,15311
2230,"NAD83 / California zone 6 (ftUS)",4497,4269,15312
2231,"NAD83 / Colorado North (ftUS)",4497,4269,15313
2232,"NAD83 / Colorado Central (ftUS)",4497,4269,15314
2233,"NAD83 / Colorado South (ftUS)",4497,4269,15315
2234,"NAD83 / Connecticut (ftUS)",4497,4269,15316
2235,"NAD83 / Delaware (ftUS)",4497,4269,15317
2236,"NAD83 / Florida East (ftUS)",4497,4269,15318
2237,"NAD83 / Florida West (ftUS)",4497,4269,15319
2238,"NAD83 / Florida North (ftUS)",4497,4269,15320
2239,"NAD83 / Georgia East (ftUS)",4497,4269,15321
2240,"NAD83 / Georgia West (ftUS)",4497,4269,15322
2241,"NAD83 / Idaho East (ftUS)",4497,4269,15323
2242,"NAD83 / Idaho Central (ftUS)",4497,4269,15324
2243,"NAD83 / Idaho West (ftUS)",4497,4269,15325
2246,"NAD83 / Kentucky North (ftUS)",4497,4269,15328
2247,"NAD83 / Kentucky South (ftUS)",4497,4269,15329
2248,"NAD83 / Maryland (ftUS)",4497,4269,15330
2249,"NAD83 / Massachusetts Mainland (ftUS)",4497,4269,15331
2250,"NAD83 / Massachusetts Island (ftUS)",4497,4269,15332
2251,"NAD83 / Michigan North (ft)",4495,4269,15333
2252,"NAD83 / Michigan Central (ft)",4495,4269,15334
2253,"NAD83 / Michigan South (ft)",4495,4269,15335
2254,"NAD83 / Mississippi East (ftUS)",4497,4269,15336
2255,"NAD83 / Mississippi West (ftUS)",4497,4269,15337
2256,"NAD83 / Montana (ft)",4495,4269,15338
2257,"NAD83 / New Mexico East (ftUS)",4497,4269,15339
2258,"NAD83 / New Mexico Central (ftUS)",4497,4269,15340
2259,"NAD83 / New Mexico West (ftUS)",4497,4269,15341
2260,"NAD83 / New York East (ftUS)",4497,4269,15342
2261,"NAD83 / New York Central (ftUS)",4497,4269,15343
2262,"NAD83 / New York West (ftUS)",4497,4269,15344
2263,"NAD83 / New York Long Island (ftUS)",4497,4269,15345
2264,"NAD83 / North Carolina (ftUS)",4497,4269,15346
2265,"NAD83 / North Dakota North (ft)",4495,4269,15347
2266,"NAD83 / North Dakota South (ft)",4495,4269,15348
2267,"NAD83 / Oklahoma North (ftUS)",4497,4269,15349
2268,"NAD83 / Oklahoma South (ftUS)",4497,4269,15350
2269,"NAD83 / Oregon North (ft)",4495,4269,15351
2270,"NAD83 / Oregon South (ft)",4495,4269,15352
2271,"NAD83 / Pennsylvania North (ftUS)",4497,4269,15353
2272,"NAD83 / Pennsylvania South (ftUS)",4497,4269,15354
2273,"NAD83 / South Carolina (ft)",4495,4269,15355
2274,"NAD83 / Tennessee (ftUS)",4497,4269,15356
2275,"NAD83 / Texas North (ftUS)",4497,4269,15357
2276,"NAD83 / Texas North Central (ftUS)",4497,4269,15358
2277,"NAD83 / Texas Central (ftUS)",4497,4269,15359
2278,"NAD83 / Texas South Central (ftUS)",4497,4269,15360
2279,"NAD83 / Texas South (ftUS)",4497,4269,15361
2280,"NAD83 / Utah North (ft)",4495,4269,15362
2281,"NAD83 / Utah Central (ft)",4495,4269,15363
2282,"NAD83 / Utah South (ft)",4495,4269,15364
2283,"NAD83 / Virginia North (ftUS)",4497,4269,15365
2284,"NAD83 / Virginia South (ftUS)",4497,4269,15366
2285,"NAD83 / Washington North (ftUS)",4497,4269,15367
2286,"NAD83 / Washington South (ftUS)",4497,4269,15368
2287,"NAD83 / Wisconsin North (ftUS)",4497,4269,15369
2288,"NAD83 / Wisconsin Central (ftUS)",4497,4269,15370
2289,"NAD83 / Wisconsin South (ftUS)",4497,4269,15371
2290,"ATS77 / Prince Edward Isl. Stereographic (ATS77)",4496,4122,19933
2294,"ATS77 / MTM Nova Scotia zone 4",4400,4122,17794
2295,"ATS77 / MTM Nova Scotia zone 5",4400,4122,17795
2296,"Ammassalik 1958 / Greenland zone 7 east",1031,4196,18427
2299,"Qornoq 1927 / Greenland zone 2 west",1031,4194,18432
2301,"Qornoq 1927 / Greenland zone 3 west",1031,4194,18433
2303,"Qornoq 1927 / Greenland zone 4 west",1031,4194,18434
2304,"Qornoq 1927 / Greenland zone 5 west",1031,4194,18435
2305,"Qornoq 1927 / Greenland zone 6 west",1031,4194,18436
2306,"Qornoq 1927 / Greenland zone 7 west",1031,4194,18437
2307,"Qornoq 1927 / Greenland zone 8 east",1031,4194,18428
2308,"Batavia / TM 109 SE",4400,4211,16709
2309,"WGS 84 / TM 116 SE",4400,4326,16716
2310,"WGS 84 / TM 132 SE",4400,4326,16732
2311,"WGS 84 / TM 6 NE",4400,4326,16406
2312,"Garoua / UTM zone 33N",4400,4197,16033
2313,"Kousseri / UTM zone 33N",4400,4198,16033
2314,"Trinidad 1903 / Trinidad Grid (ftCla)",4403,4302,19975
2315,"Campo Inchauspe / UTM zone 19S",4400,4221,16119
2316,"Campo Inchauspe / UTM zone 20S",4400,4221,16120
2317,"PSAD56 / ICN Regional",4499,4248,19976
2318,"Ain el Abd / Aramco Lambert",4400,4204,19977
2319,"ED50 / TM27",4530,4230,16305
2320,"ED50 / TM30",4530,4230,16370
2321,"ED50 / TM33",4530,4230,16306
2322,"ED50 / TM36",4530,4230,16372
2323,"ED50 / TM39",4530,4230,16307
2324,"ED50 / TM42",4530,4230,16374
2325,"ED50 / TM45",4530,4230,16308
2326,"Hong Kong 1980 Grid System",4500,4611,19978
2327,"Xian 1980 / Gauss-Kruger zone 13",4530,4610,16213
2328,"Xian 1980 / Gauss-Kruger zone 14",4530,4610,16214
2329,"Xian 1980 / Gauss-Kruger zone 15",4530,4610,16215
2330,"Xian 1980 / Gauss-Kruger zone 16",4530,4610,16216
2331,"Xian 1980 / Gauss-Kruger zone 17",4530,4610,16217
2332,"Xian 1980 / Gauss-Kruger zone 18",4530,4610,16218
2333,"Xian 1980 / Gauss-Kruger zone 19",4530,4610,16219
2334,"Xian 1980 / Gauss-Kruger zone 20",4530,4610,16220
2335,"Xian 1980 / Gauss-Kruger zone 21",4530,4610,16221
2336,"Xian 1980 / Gauss-Kruger zone 22",4530,4610,16222
2337,"Xian 1980 / Gauss-Kruger zone 23",4530,4610,16223
2338,"Xian 1980 / Gauss-Kruger CM 75E",4530,4610,16313
2339,"Xian 1980 / Gauss-Kruger CM 81E",4530,4610,16314
2340,"Xian 1980 / Gauss-Kruger CM 87E",4530,4610,16315
2341,"Xian 1980 / Gauss-Kruger CM 93E",4530,4610,16316
2342,"Xian 1980 / Gauss-Kruger CM 99E",4530,4610,16317
2343,"Xian 1980 / Gauss-Kruger CM 105E",4530,4610,16318
2344,"Xian 1980 / Gauss-Kruger CM 111E",4530,4610,16319
2345,"Xian 1980 / Gauss-Kruger CM 117E",4530,4610,16320
2346,"Xian 1980 / Gauss-Kruger CM 123E",4530,4610,16321
2347,"Xian 1980 / Gauss-Kruger CM 129E",4530,4610,16322
2348,"Xian 1980 / Gauss-Kruger CM 135E",4530,4610,16323
2349,"Xian 1980 / 3-degree Gauss-Kruger zone 25",4530,4610,16285
2350,"Xian 1980 / 3-degree Gauss-Kruger zone 26",4530,4610,16286
2351,"Xian 1980 / 3-degree Gauss-Kruger zone 27",4530,4610,16287
2352,"Xian 1980 / 3-degree Gauss-Kruger zone 28",4530,4610,16288
2353,"Xian 1980 / 3-degree Gauss-Kruger zone 29",4530,4610,16289
2354,"Xian 1980 / 3-degree Gauss-Kruger zone 30",4530,4610,16290
2355,"Xian 1980 / 3-degree Gauss-Kruger zone 31",4530,4610,16291
2356,"Xian 1980 / 3-degree Gauss-Kruger zone 32",4530,4610,16292
2357,"Xian 1980 / 3-degree Gauss-Kruger zone 33",4530,4610,16293
2358,"Xian 1980 / 3-degree Gauss-Kruger zone 34",4530,4610,16294
2359,"Xian 1980 / 3-degree Gauss-Kruger zone 35",4530,4610,16295
2360,"Xian 1980 / 3-degree Gauss-Kruger zone 36",4530,4610,16296
2361,"Xian 1980 / 3-degree Gauss-Kruger zone 37",4530,4610,16297
2362,"Xian 1980 / 3-degree Gauss-Kruger zone 38",4530,4610,16298
2363,"Xian 1980 / 3-degree Gauss-Kruger zone 39",4530,4610,16299
2364,"Xian 1980 / 3-degree Gauss-Kruger zone 40",4530,4610,16070
2365,"Xian 1980 / 3-degree Gauss-Kruger zone 41",4530,4610,16071
2366,"Xian 1980 / 3-degree Gauss-Kruger zone 42",4530,4610,16072
2367,"Xian 1980 / 3-degree Gauss-Kruger zone 43",4530,4610,16073
2368,"Xian 1980 / 3-degree Gauss-Kruger zone 44",4530,4610,16074
2369,"Xian 1980 / 3-degree Gauss-Kruger zone 45",4530,4610,16075
2370,"Xian 1980 / 3-degree Gauss-Kruger CM 75E",4530,4610,16313
2371,"Xian 1980 / 3-degree Gauss-Kruger CM 78E",4530,4610,16386
2372,"Xian 1980 / 3-degree Gauss-Kruger CM 81E",4530,4610,16314
2373,"Xian 1980 / 3-degree Gauss-Kruger CM 84E",4530,4610,16388
2374,"Xian 1980 / 3-degree Gauss-Kruger CM 87E",4530,4610,16315
2375,"Xian 1980 / 3-degree Gauss-Kruger CM 90E",4530,4610,16390
2376,"Xian 1980 / 3-degree Gauss-Kruger CM 93E",4530,4610,16316
2377,"Xian 1980 / 3-degree Gauss-Kruger CM 96E",4530,4610,16392
2378,"Xian 1980 / 3-degree Gauss-Kruger CM 99E",4530,4610,16317
2379,"Xian 1980 / 3-degree Gauss-Kruger CM 102E",4530,4610,16394
2380,"Xian 1980 / 3-degree Gauss-Kruger CM 105E",4530,4610,16318
2381,"Xian 1980 / 3-degree Gauss-Kruger CM 108E",4530,4610,16396
2382,"Xian 1980 / 3-degree Gauss-Kruger CM 111E",4530,4610,16319
2383,"Xian 1980 / 3-degree Gauss-Kruger CM 114E",4530,4610,16398
2384,"Xian 1980 / 3-degree Gauss-Kruger CM 117E",4530,4610,16320
2385,"Xian 1980 / 3-degree Gauss-Kruger CM 120E",4530,4610,16170
2386,"Xian 1980 / 3-degree Gauss-Kruger CM 123E",4530,4610,16321
2387,"Xian 1980 / 3-degree Gauss-Kruger CM 126E",4530,4610,16172
2388,"Xian 1980 / 3-degree Gauss-Kruger CM 129E",4530,4610,16322
2389,"Xian 1980 / 3-degree Gauss-Kruger CM 132E",4530,4610,16174
2390,"Xian 1980 / 3-degree Gauss-Kruger CM 135E",4530,4610,16323
2391,"KKJ / Finland zone 1",4530,4123,18191
2392,"KKJ / Finland zone 2",4530,4123,18192
2393,"KKJ / Finland Uniform Coordinate System",4530,4123,18193
2394,"KKJ / Finland zone 4",4530,4123,18194
2395,"South Yemen / Gauss-Kruger zone 8",4530,4164,16208
2396,"South Yemen / Gauss-Kruger zone 9",4530,4164,16209
2397,"Pulkovo 1942(83) / 3-degree Gauss-Kruger zone 3",4530,4178,16263
2398,"Pulkovo 1942(83) / 3-degree Gauss-Kruger zone 4",4530,4178,16264
2399,"Pulkovo 1942(83) / 3-degree Gauss-Kruger zone 5",4530,4178,16265
2401,"Beijing 1954 / 3-degree Gauss-Kruger zone 25",4530,4214,16285
2402,"Beijing 1954 / 3-degree Gauss-Kruger zone 26",4530,4214,16286
2403,"Beijing 1954 / 3-degree Gauss-Kruger zone 27",4530,4214,16287
2404,"Beijing 1954 / 3-degree Gauss-Kruger zone 28",4530,4214,16288
2405,"Beijing 1954 / 3-degree Gauss-Kruger zone 29",4530,4214,16289
2406,"Beijing 1954 / 3-degree Gauss-Kruger zone 30",4530,4214,16290
2407,"Beijing 1954 / 3-degree Gauss-Kruger zone 31",4530,4214,16291
2408,"Beijing 1954 / 3-degree Gauss-Kruger zone 32",4530,4214,16292
2409,"Beijing 1954 / 3-degree Gauss-Kruger zone 33",4530,4214,16293
2410,"Beijing 1954 / 3-degree Gauss-Kruger zone 34",4530,4214,16294
2411,"Beijing 1954 / 3-degree Gauss-Kruger zone 35",4530,4214,16295
2412,"Beijing 1954 / 3-degree Gauss-Kruger zone 36",4530,4214,16296
2413,"Beijing 1954 / 3-degree Gauss-Kruger zone 37",4530,4214,16297
2414,"Beijing 1954 / 3-degree Gauss-Kruger zone 38",4530,4214,16298
2415,"Beijing 1954 / 3-degree Gauss-Kruger zone 39",4530,4214,16299
2416,"Beijing 1954 / 3-degree Gauss-Kruger zone 40",4530,4214,16070
2417,"Beijing 1954 / 3-degree Gauss-Kruger zone 41",4530,4214,16071
2418,"Beijing 1954 / 3-degree Gauss-Kruger zone 42",4530,4214,16072
2419,"Beijing 1954 / 3-degree Gauss-Kruger zone 43",4530,4214,16073
2420,"Beijing 1954 / 3-degree Gauss-Kruger zone 44",4530,4214,16074
2421,"Beijing 1954 / 3-degree Gauss-Kruger zone 45",4530,4214,16075
2422,"Beijing 1954 / 3-degree Gauss-Kruger CM 75E",4530,4214,16313
2423,"Beijing 1954 / 3-degree Gauss-Kruger CM 78E",4530,4214,16386
2424,"Beijing 1954 / 3-degree Gauss-Kruger CM 81E",4530,4214,16314
2425,"Beijing 1954 / 3-degree Gauss-Kruger CM 84E",4530,4214,16388
2426,"Beijing 1954 / 3-degree Gauss-Kruger CM 87E",4530,4214,16315
2427,"Beijing 1954 / 3-degree Gauss-Kruger CM 90E",4530,4214,16390
2428,"Beijing 1954 / 3-degree Gauss-Kruger CM 93E",4530,4214,16316
2429,"Beijing 1954 / 3-degree Gauss-Kruger CM 96E",4530,4214,16392
2430,"Beijing 1954 / 3-degree Gauss-Kruger CM 99E",4530,4214,16317
2431,"Beijing 1954 / 3-degree Gauss-Kruger CM 102E",4530,4214,16394
2432,"Beijing 1954 / 3-degree Gauss-Kruger CM 105E",4530,4214,16318
2433,"Beijing 1954 / 3-degree Gauss-Kruger CM 108E",4530,4214,16396
2434,"Beijing 1954 / 3-degree Gauss-Kruger CM 111E",4530,4214,16319
2435,"Beijing 1954 / 3-degree Gauss-Kruger CM 114E",4530,4214,16398
2436,"Beijing 1954 / 3-degree Gauss-Kruger CM 117E",4530,4214,16320
2437,"Beijing 1954 / 3-degree Gauss-Kruger CM 120E",4530,4214,16170
2438,"Beijing 1954 / 3-degree Gauss-Kruger CM 123E",4530,4214,16321
2439,"Beijing 1954 / 3-degree Gauss-Kruger CM 126E",4530,4214,16172
2440,"Beijing 1954 / 3-degree Gauss-Kruger CM 129E",4530,4214,16322
2441,"Beijing 1954 / 3-degree Gauss-Kruger CM 132E",4530,4214,16174
2442,"Beijing 1954 / 3-degree Gauss-Kruger CM 135E",4530,4214,16323
2443,"JGD2000 / Japan Plane Rectangular CS I",4530,4612,17801
2444,"JGD2000 / Japan Plane Rectangular CS II",4530,4612,17802
2445,"JGD2000 / Japan Plane Rectangular CS III",4530,4612,17803
2446,"JGD2000 / Japan Plane Rectangular CS IV",4530,4612,17804
2447,"JGD2000 / Japan Plane Rectangular CS V",4530,4612,17805
2448,"JGD2000 / Japan Plane Rectangular CS VI",4530,4612,17806
2449,"JGD2000 / Japan Plane Rectangular CS VII",4530,4612,17807
2450,"JGD2000 / Japan Plane Rectangular CS VIII",4530,4612,17808
2451,"JGD2000 / Japan Plane Rectangular CS IX",4530,4612,17809
2452,"JGD2000 / Japan Plane Rectangular CS X",4530,4612,17810
2453,"JGD2000 / Japan Plane Rectangular CS XI",4530,4612,17811
2454,"JGD2000 / Japan Plane Rectangular CS XII",4530,4612,17812
2455,"JGD2000 / Japan Plane Rectangular CS XIII",4530,4612,17813
2456,"JGD2000 / Japan Plane Rectangular CS XIV",4530,4612,17814
2457,"JGD2000 / Japan Plane Rectangular CS XV",4530,4612,17815
2458,"JGD2000 / Japan Plane Rectangular CS XVI",4530,4612,17816
2459,"JGD2000 / Japan Plane Rectangular CS XVII",4530,4612,17817
2460,"JGD2000 / Japan Plane Rectangular CS XVIII",4530,4612,17818
2461,"JGD2000 / Japan Plane Rectangular CS XIX",4530,4612,17819
2462,"Albanian 1987 / Gauss-Kruger zone 4",4530,4191,16204
2463,"Pulkovo 1995 / Gauss-Kruger CM 21E",4530,4200,16304
2464,"Pulkovo 1995 / Gauss-Kruger CM 27E",4530,4200,16305
2465,"Pulkovo 1995 / Gauss-Kruger CM 33E",4530,4200,16306
2466,"Pulkovo 1995 / Gauss-Kruger CM 39E",4530,4200,16307
2467,"Pulkovo 1995 / Gauss-Kruger CM 45E",4530,4200,16308
2468,"Pulkovo 1995 / Gauss-Kruger CM 51E",4530,4200,16309
2469,"Pulkovo 1995 / Gauss-Kruger CM 57E",4530,4200,16310
